index,Duration,Total stops,Price,Average Price Per Airlines,Source_NRT,Source_TPE,Destination_NRT,Destination_TPE
1072,205,0.0,400.0,395.2901069518717,0,1,1,0
1073,195,0.0,427.0,386.3411214953271,0,1,1,0
1074,200,0.0,424.0,505.3943396226415,0,1,1,0
1075,205,0.0,427.0,408.04664179104475,0,1,1,0
1077,345,1.0,411.0,371.85,0,1,1,0
1078,375,1.0,434.0,371.85,0,1,1,0
1079,205,0.0,216.0,213.1283783783784,0,1,1,0
1080,195,0.0,380.0,395.2901069518717,0,1,1,0
1081,200,0.0,385.0,408.04664179104475,0,1,1,0
1082,200,0.0,390.0,425.8984375,0,1,1,0
1083,205,0.0,380.0,395.2901069518717,0,1,1,0
1084,205,0.0,385.0,408.04664179104475,0,1,1,0
1085,200,0.0,406.0,386.3411214953271,0,1,1,0
1086,205,0.0,406.0,408.04664179104475,0,1,1,0
1087,195,0.0,427.0,386.3411214953271,0,1,1,0
1088,200,0.0,433.0,505.3943396226415,0,1,1,0
1089,200,0.0,222.0,200.2774193548387,0,1,1,0
1090,345,1.0,361.0,371.85,0,1,1,0
1091,375,1.0,361.0,371.85,0,1,1,0
1092,380,1.0,379.0,361.3519553072626,0,1,1,0
1094,205,0.0,170.0,211.75057736720555,0,1,1,0
1095,200,0.0,168.0,200.2774193548387,0,1,1,0
1096,205,0.0,175.0,213.1283783783784,0,1,1,0
1098,205,0.0,217.0,211.75057736720555,0,1,1,0
1099,205,0.0,253.0,226.32091690544414,0,1,1,0
1101,195,0.0,318.0,395.2901069518717,0,1,1,0
1106,200,0.0,383.0,408.04664179104475,0,1,1,0
1108,195,0.0,379.0,395.2901069518717,0,1,1,0
1109,200,0.0,380.0,425.8984375,0,1,1,0
1110,195,0.0,380.0,395.2901069518717,0,1,1,0
1111,1165,1.0,271.0,230.22916666666666,0,1,1,0
1112,550,1.0,281.0,311.6,0,1,1,0
1113,720,1.0,285.0,230.22916666666666,0,1,1,0
1114,345,1.0,361.0,371.85,0,1,1,0
1115,205,0.0,380.0,395.2901069518717,0,1,1,0
1116,195,0.0,406.0,386.3411214953271,0,1,1,0
1117,200,0.0,390.0,425.8984375,0,1,1,0
1118,375,1.0,361.0,371.85,0,1,1,0
1119,200,0.0,406.0,408.04664179104475,0,1,1,0
1121,200,0.0,406.0,386.3411214953271,0,1,1,0
1122,550,1.0,337.0,311.6,0,1,1,0
1123,380,1.0,379.0,361.3519553072626,0,1,1,0
1124,205,0.0,427.0,408.04664179104475,0,1,1,0
1126,195,0.0,318.0,395.2901069518717,0,1,1,0
1127,1170,1.0,271.0,230.22916666666666,0,1,1,0
1128,720,1.0,285.0,230.22916666666666,0,1,1,0
1129,550,1.0,304.0,311.6,0,1,1,0
1130,195,0.0,380.0,395.2901069518717,0,1,1,0
1131,380,1.0,349.0,361.3519553072626,0,1,1,0
1132,200,0.0,385.0,408.04664179104475,0,1,1,0
1133,345,1.0,361.0,371.85,0,1,1,0
1134,195,0.0,406.0,386.3411214953271,0,1,1,0
1135,200,0.0,390.0,425.8984375,0,1,1,0
1136,205,0.0,385.0,408.04664179104475,0,1,1,0
1137,375,1.0,361.0,371.85,0,1,1,0
1138,200,0.0,406.0,386.3411214953271,0,1,1,0
1142,200,0.0,218.0,200.2774193548387,0,1,1,0
1144,205,0.0,222.0,213.1283783783784,0,1,1,0
1145,200,0.0,204.0,200.2774193548387,0,1,1,0
1146,205,0.0,229.0,211.75057736720555,0,1,1,0
1147,205,0.0,285.0,211.75057736720555,0,1,1,0
1149,205,0.0,315.0,226.32091690544414,0,1,1,0
1152,200,0.0,377.0,425.8984375,0,1,1,0
1153,200,0.0,383.0,408.04664179104475,0,1,1,0
1156,200,0.0,399.0,386.3411214953271,0,1,1,0
1158,195,0.0,289.0,395.2901069518717,0,1,1,0
1159,1425,1.0,271.0,230.22916666666666,0,1,1,0
1160,200,0.0,354.0,408.04664179104475,0,1,1,0
1161,195,0.0,392.0,395.2901069518717,0,1,1,0
1162,200,0.0,390.0,425.8984375,0,1,1,0
